year,race,sex,age,pop
1993,white,Female,40-44,7264291
1993,white,Female,45-49,6181639
1993,white,Female,5-9,6116218
1993,white,Female,50-54,4909710
1993,white,Female,55-59,4367383
1993,white,Female,60-64,4544462
1993,white,Female,65-69,4623478
1993,white,Female,70-74,4152162
1993,white,Female,75-79,3356631
1993,white,Female,80-84,2383065
1993,white,Female,85+,2131590
1993,white,Male,0,1308940
1993,white,Male,1-4,5278402
1993,white,Male,10-14,6430047
1993,white,Male,15-19,6030999
1993,white,Male,20-24,6719471
1993,white,Male,25-29,7246270
1993,white,Male,30-34,8298731
1993,white,Male,35-39,7983002
1993,white,Male,40-44,7234591
1993,white,Male,45-49,6085051
1993,white,Male,5-9,6459696
1993,white,Male,50-54,4744676
1993,white,Male,55-59,4112249
1993,white,Male,60-64,4099284
1993,white,Male,65-69,3816045
1993,white,Male,70-74,3177891
1993,white,Male,75-79,2227992
1993,white,Male,80-84,1273897
1993,white,Male,85+,793161
1994,amind,Female,0,20730
1994,amind,Female,1-4,91665
1994,amind,Female,10-14,114997
1994,amind,Female,15-19,96610
1994,amind,Female,20-24,93962
1994,amind,Female,25-29,91519
1994,amind,Female,30-34,99298
1994,amind,Female,35-39,94406
1994,amind,Female,40-44,80205
1994,amind,Female,45-49,62650
1994,amind,Female,5-9,117437
1994,amind,Female,50-54,48032
1994,amind,Female,55-59,36919
1994,amind,Female,60-64,29941
1994,amind,Female,65-69,24422
1994,amind,Female,70-74,18851
1994,amind,Female,75-79,12723
1994,amind,Female,80-84,8138
1994,amind,Female,85+,6631
1994,amind,Male,0,21355
1994,amind,Male,1-4,94578
1994,amind,Male,10-14,117766
1994,amind,Male,15-19,101128
1994,amind,Male,20-24,103915
1994,amind,Male,25-29,95333
1994,amind,Male,30-34,97077
1994,amind,Male,35-39,89158
1994,amind,Male,40-44,75209
1994,amind,Male,45-49,59227
1994,amind,Male,5-9,121777
1994,amind,Male,50-54,44556
1994,amind,Male,55-59,34177
1994,amind,Male,60-64,26615
1994,amind,Male,65-69,20440
1994,amind,Male,70-74,14410
1994,amind,Male,75-79,8339
1994,amind,Male,80-84,4623
1994,amind,Male,85+,3233
1994,asian,Female,0,74643
1994,asian,Female,1-4,289608
1994,asian,Female,10-14,342906
1994,asian,Female,15-19,318511
1994,asian,Female,20-24,402613
1994,asian,Female,25-29,429601
1994,asian,Female,30-34,444952
1994,asian,Female,35-39,418417
1994,asian,Female,40-44,376405
1994,asian,Female,45-49,283354
1994,asian,Female,5-9,321078
1994,asian,Female,50-54,206160
1994,asian,Female,55-59,164312
1994,asian,Female,60-64,148229
1994,asian,Female,65-69,124912
1994,asian,Female,70-74,90085
1994,asian,Female,75-79,55652
1994,asian,Female,80-84,30294
1994,asian,Female,85+,22015
1994,asian,Male,0,78904
1994,asian,Male,1-4,305860
1994,asian,Male,10-14,355141
1994,asian,Male,15-19,335813
1994,asian,Male,20-24,420642
1994,asian,Male,25-29,407535
1994,asian,Male,30-34,423303
1994,asian,Male,35-39,387243
1994,asian,Male,40-44,329424
1994,asian,Male,45-49,251221
1994,asian,Male,5-9,335788
1994,asian,Male,50-54,189719
1994,asian,Male,55-59,144337
1994,asian,Male,60-64,114413
1994,asian,Male,65-69,92939
1994,asian,Male,70-74,72863
1994,asian,Male,75-79,44416
1994,asian,Male,80-84,25389
1994,asian,Male,85+,15721
1994,black,Female,0,311894
1994,black,Female,1-4,1283075
1994,black,Female,10-14,1428055
1994,black,Female,15-19,1333625
1994,black,Female,20-24,1385931
1994,black,Female,25-29,1424850
1994,black,Female,30-34,1515266
1994,black,Female,35-39,1425406
1994,black,Female,40-44,1196487
1994,black,Female,45-49,890418
1994,black,Female,5-9,1454362
1994,black,Female,50-54,721123
1994,black,Female,55-59,604288
1994,black,Female,60-64,558799
1994,black,Female,65-69,508224
1994,black,Female,70-74,413841
1994,black,Female,75-79,312949
1994,black,Female,80-84,209363
1994,black,Female,85+,185336
1994,black,Male,0,320522
1994,black,Male,1-4,1316241
1994,black,Male,10-14,1464928
1994,black,Male,15-19,1362474
1994,black,Male,20-24,1330099
1994,black,Male,25-29,1294498
1994,black,Male,30-34,1340524
1994,black,Male,35-39,1251011
1994,black,Male,40-44,1027935
1994,black,Male,45-49,750984
1994,black,Male,5-9,1494226
1994,black,Male,50-54,598040
1994,black,Male,55-59,483065
1994,black,Male,60-64,430200
1994,black,Male,65-69,372476
1994,black,Male,70-74,274399
1994,black,Male,75-79,181499
1994,black,Male,80-84,104893
1994,black,Male,85+,73429
1994,latino,Female,0,285016
1994,latino,Female,1-4,1049146
1994,latino,Female,10-14,1048970
1994,latino,Female,15-19,999648
1994,latino,Female,20-24,1042699
1994,latino,Female,25-29,1104673
1994,latino,Female,30-34,1068038
1994,latino,Female,35-39,888011
1994,latino,Female,40-44,706500
1994,latino,Female,45-49,537165
1994,latino,Female,5-9,1084343
1994,latino,Female,50-54,415673
1994,latino,Female,55-59,339626
1994,latino,Female,60-64,295785
1994,latino,Female,65-69,251006
1994,latino,Female,70-74,185173
1994,latino,Female,75-79,127302
1994,latino,Female,80-84,87653
1994,latino,Female,85+,67991
1994,latino,Male,0,299834
1994,latino,Male,1-4,1092570
1994,latino,Male,10-14,1102109
1994,latino,Male,15-19,1100202
1994,latino,Male,20-24,1252076
1994,latino,Male,25-29,1305539
1994,latino,Male,30-34,1197132
1994,latino,Male,35-39,945475
1994,latino,Male,40-44,715731
